customer_name,customer_id,gender,age,zipcode,city,Tenure in months,phone no.,avg monthly usage,plan type,avg monthly download(GB),payment method,total charge,total refunds,customer status,churn category,churn reason
Jaime Young,77310174,Female,42,98777,South Seth,64,001-285-757-6572x977,120,Standard,147,PayPal,40.93,27.36,Stayed,,
Christopher Whitehead,44520907,Male,35,61397,West Lisa,5,325.955.3213x40841,1342,Premium,170,Bank Transfer,116.55,2.04,Stayed,,
Sharon Robinson,75088854,Male,42,32717,North Patricia,70,392.581.8124,1398,Basic,147,PayPal,98.69,15.75,Churned,Dissatisfaction,Product dissatisfaction
Brooke Monroe,38699528,Female,29,34607,Lake Amanda,4,(675)362-3382,1867,Premium,9,PayPal,68.22,28.78,Stayed,,
Kathleen Foster,30960995,Female,32,18272,Jessicashire,39,439.273.3234x2160,354,Standard,87,PayPal,128.72,47.53,Stayed,,
Erin Ortiz,47628230,Female,76,48513,Lindaside,35,(678)377-3284x6102,1524,Standard,186,PayPal,176.84,42.96,Stayed,,
Andrea Sawyer,1564068,Female,43,76399,Carolynmouth,1,470-470-8915x03676,1080,Basic,55,Credit Card,199.8,11.42,Stayed,,
Jaclyn Carrillo,98254655,Female,58,26505,Keithfurt,24,320-237-1206x98139,1387,Basic,14,PayPal,129.4,11.01,Stayed,,
Michael Ortiz,3565499,Female,62,84298,Lopezhaven,57,517-732-3573,866,Premium,144,PayPal,92.85,10.06,Stayed,,
Christopher Guerra,43296997,Male,43,42473,Rossfurt,70,+1-354-330-2451x2263,1176,Basic,8,Bank Transfer,60.54,46.12,Churned,Attitude,Attitude of service provider
Jason Woods,66882660,Female,64,33860,Lewistown,41,(867)841-6992x38284,870,Premium,99,Credit Card,66.28,42.63,Stayed,,
Joseph Lee,75337983,Female,49,26831,Port Jessicamouth,54,(489)642-4046x36719,242,Basic,150,Bank Transfer,106.3,38.74,Stayed,,
Daniel Young,94114701,Male,27,53826,West Michelle,46,(524)712-4840x92781,1826,Premium,84,PayPal,86.11,19.64,Stayed,,
Sophia Taylor,75567052,Male,33,59927,Rebeccaside,60,264.202.6517,1647,Premium,40,Bank Transfer,184.49,25.22,Stayed,,
Michael Williams,29817114,Male,24,02662,North Kelly,60,656-233-6862x1905,578,Premium,29,Bank Transfer,86.29,23.22,Stayed,,
Robert Dixon,80927099,Male,34,37753,Romeroville,57,(549)857-7628,220,Premium,102,PayPal,87.22,12.67,Stayed,,
Deanna Hall,53049466,Female,40,74087,North Katelyntown,31,001-403-914-9651x5453,1610,Standard,168,Credit Card,89.04,25.25,Stayed,,
Melissa Green,1872325,Female,43,65449,East Karaborough,24,001-795-772-0648x3531,300,Premium,105,Credit Card,170.59,1.52,Churned,Attitude,Attitude of service provider
Dr. Ronald Baldwin,56650501,Female,38,61653,Annchester,36,6614559261,1838,Basic,199,Bank Transfer,137.14,6.59,Stayed,,
Timothy Winters,79386731,Female,39,64512,New Jonathanshire,30,406-553-3333,1460,Standard,13,PayPal,130.55,44.33,Stayed,,
Stephen Jones,24062747,Female,75,67929,Harperburgh,24,6249365048,1280,Standard,65,Bank Transfer,80.15,37.58,Stayed,,
Robert Rowe,1854147,Female,24,64807,Lake Brian,30,3489144693,590,Premium,57,Bank Transfer,167.22,21.14,Stayed,,
Stephen Bennett,74866569,Male,31,46728,Weberstad,7,(595)328-0110x193,1702,Standard,150,Bank Transfer,26.91,25.86,Stayed,,
Mr. Christopher Serrano,38466319,Female,32,41744,Hollyburgh,35,238-644-7091,465,Premium,175,PayPal,176.74,18.5,Churned,Price,Extra data charges
Tracy Bird,18440493,Male,70,95161,Kellerfurt,55,+1-340-214-2856,843,Basic,167,PayPal,112.29,37.04,Stayed,,
Diana Anderson DVM,67055731,Male,24,35677,South William,14,543.399.0545x94711,1453,Premium,67,Credit Card,91.69,39.21,Stayed,,
Mrs. Patricia Fry,49070577,Female,26,80148,West Brookeport,10,001-320-884-9674x464,1217,Standard,125,PayPal,109.49,38.16,Stayed,,
Marcus Medina,71493338,Male,68,54144,Weberview,16,310-792-8924,74,Basic,109,Bank Transfer,140.13,36.13,Stayed,,
Jessica Thompson,3827416,Female,65,31048,North Gregory,54,(537)730-7587x98525,1895,Premium,8,Bank Transfer,22.3,10.23,Churned,Dissatisfaction,Product dissatisfaction
Vickie Jones,63239591,Male,25,18925,Monicaberg,70,587-620-1450x56091,717,Basic,97,Credit Card,176.88,16.9,Stayed,,
Courtney Jones,59778522,Female,67,08787,South Brookeville,44,+1-747-525-0329x45615,1146,Basic,173,PayPal,100.41,23.49,Stayed,,
Robert Nguyen,86255714,Male,76,42757,South Mary,45,7142041503,681,Standard,177,Bank Transfer,81.73,16.54,Stayed,,
Tracy Bridges,85522626,Female,40,57561,East Stephenshire,56,001-962-450-3212x5546,1897,Basic,182,Credit Card,44.88,37.75,Stayed,,
Erica Morgan,81244008,Female,46,61808,South Thomasberg,57,001-769-330-6289,1906,Standard,32,Credit Card,99.1,16.47,Stayed,,
Ian Johnson,6059365,Female,35,92917,Port Matthewton,21,392-384-6796x76016,1166,Basic,174,Bank Transfer,109.34,6.91,Stayed,,
Brian Young,74229663,Female,48,56291,Sarahborough,68,+1-888-473-8193x621,554,Premium,84,Bank Transfer,92.66,19.95,Stayed,,
Mr. Matthew Frazier,38657179,Female,47,96042,Proctorburgh,50,291-576-3407x12610,1671,Basic,80,PayPal,142.16,49.0,Stayed,,
Billy Davis,68238422,Male,69,29523,Perezstad,33,299.547.8756x6008,385,Premium,120,Credit Card,95.76,11.29,Stayed,,
Howard Mitchell,69717810,Male,56,20491,Aaronton,7,987-956-7401x19133,474,Premium,73,Bank Transfer,193.06,30.61,Stayed,,
Amy Douglas,24469979,Male,52,11621,New Martha,70,(756)949-1948,548,Basic,102,Credit Card,127.87,21.65,Churned,Price,Long distance charges
Kayla Haley,5319153,Female,35,21805,East Ericaton,15,(533)623-2355x618,1437,Premium,5,PayPal,165.35,3.55,Stayed,,
Jordan Miller,90625811,Male,76,42961,Savageside,32,843.932.8876x568,996,Basic,171,Bank Transfer,39.68,24.39,Churned,Other,Moved
Kyle Peterson,36771705,Female,59,21338,North Brucehaven,20,001-914-902-0718x543,679,Basic,100,PayPal,91.51,35.11,Churned,Competitor,Competitor offered better device
Tyler Garcia,69795313,Female,56,06556,New Stephenstad,15,497.923.2664,1818,Premium,21,Credit Card,80.63,25.66,Churned,Competitor,Competitor offered more data
Michael Garcia,61793184,Male,34,75991,Lake Brittany,48,570.991.1452,1272,Premium,116,PayPal,122.51,43.61,Stayed,,
Paula Jennings,14841670,Male,31,01325,Angelahaven,71,919.859.8363x066,767,Standard,95,PayPal,175.0,14.45,Stayed,,
Dale Rivera,42517469,Female,48,02994,South Christopher,21,(684)771-2473,1486,Premium,92,Credit Card,34.1,4.31,Stayed,,
Kathleen Pollard,36679381,Male,41,90053,Port Alicia,42,+1-868-818-7852x500,388,Standard,167,PayPal,33.06,46.83,Stayed,,
Denise Sparks,10701896,Female,52,40795,South Loritown,26,466.600.4800,708,Premium,178,Credit Card,173.06,18.91,Stayed,,
Michael Jenkins,49482720,Female,61,72342,Bradleyhaven,14,+1-222-697-3918x0295,1011,Basic,174,Bank Transfer,58.31,28.82,Stayed,,
Fernando Wiley,31339845,Female,77,34570,East Amanda,57,(996)428-4352x9894,478,Premium,171,Credit Card,140.38,39.6,Churned,Price,Long distance charges
Shelley Duran,62214891,Female,62,56574,Port Leslieside,37,(234)777-9578x275,1856,Basic,94,Credit Card,117.72,16.22,Stayed,,
Shawn Wells,25278980,Female,51,06936,Port Mary,58,001-718-520-9172x1936,948,Basic,53,Bank Transfer,169.92,35.81,Stayed,,
Stacy Trevino,85520352,Male,20,12588,East Emmamouth,21,(733)699-3221x52931,188,Basic,194,Credit Card,42.52,6.77,Stayed,,
Pedro Rowland,5324956,Male,54,91627,Mcconnellshire,69,001-360-599-7762x97543,1766,Standard,42,Bank Transfer,43.36,14.56,Stayed,,
Patrick Harris,91597490,Female,60,04601,North Kimberlyhaven,3,281.813.3520,991,Premium,155,Bank Transfer,120.23,7.24,Stayed,,
Linda Johnson,41116471,Female,57,99919,East Vickiechester,37,575.300.5208x673,591,Basic,154,Credit Card,190.35,40.56,Stayed,,
Jacob Decker,82822086,Male,43,31384,Leemouth,49,001-824-714-4267x49234,106,Basic,136,PayPal,94.7,11.13,Stayed,,
David Glenn,18494179,Male,72,59779,North Mark,19,919-416-9501,1305,Standard,181,PayPal,78.85,35.87,Stayed,,
Jacob Barker,65549437,Female,40,21304,Lake Jeremyburgh,12,213.444.3891,707,Premium,63,Bank Transfer,129.2,47.16,Churned,Competitor,Competitor offered more data
Terri Garcia,79533269,Male,61,06272,South Nicholasfort,61,(845)795-2629x759,484,Premium,72,PayPal,187.48,26.39,Stayed,,
Rebecca Mcbride,76177079,Female,56,31351,North Mariemouth,41,613.637.9375x128,433,Standard,134,PayPal,170.65,27.0,Churned,Competitor,Competitor offered more data
Shawn Morgan,17027774,Male,32,59941,Port Debbie,33,2143954129,609,Standard,53,Credit Card,199.19,23.05,Stayed,,
Samantha Galvan,27317720,Female,73,86570,New Danielberg,50,+1-542-837-1755x18496,243,Premium,130,Bank Transfer,24.06,16.29,Stayed,,
Andrew Wallace,20444469,Male,66,76723,Nicoleberg,68,(738)398-9171x471,1809,Standard,163,Bank Transfer,40.31,23.78,Stayed,,
Yvette Snow,15620458,Female,21,06882,West Debbie,71,+1-239-842-1571x5849,1721,Premium,115,Credit Card,129.7,30.14,Stayed,,
Linda Smith,82059677,Male,46,02818,East Teresa,33,639-876-0856x376,583,Premium,172,PayPal,167.7,49.3,Stayed,,
Phillip Parrish,19030402,Male,39,81086,New Aaron,24,(948)434-3431x9785,567,Basic,52,Bank Transfer,71.34,46.89,Stayed,,
Duane Perkins,65202155,Female,42,64835,Mistyside,61,898.922.2883x0816,765,Basic,55,PayPal,63.06,43.11,Stayed,,
Keith Stout,35281473,Male,30,80776,Port Sarahbury,61,001-854-287-0774x31797,800,Premium,47,Bank Transfer,161.66,44.46,Stayed,,
Thomas Huber,39137023,Female,35,29065,Williamfort,28,(834)566-0492,234,Premium,102,Bank Transfer,30.15,23.39,Churned,Other,Moved
Jason Pierce,87181326,Male,50,12176,Hintonstad,58,9773183528,1945,Premium,187,Bank Transfer,86.49,32.87,Stayed,,
Darren Clark,41039839,Female,33,18582,West Cody,43,685-417-5909x558,341,Premium,181,Bank Transfer,111.05,44.75,Stayed,,
Courtney Kennedy,7510085,Male,62,25523,Sanchezchester,41,2899376315,1408,Premium,128,PayPal,120.86,19.65,Stayed,,
Laura Martin,21865913,Female,59,79291,Robertsborough,39,+1-635-450-0784x839,781,Premium,84,PayPal,151.15,48.09,Stayed,,
Walter Ellis,41085769,Male,61,48888,North Kenneth,49,949-281-6646,165,Standard,189,PayPal,83.87,20.79,Stayed,,
Kimberly Graham,98364159,Female,79,34494,Watsonhaven,17,(364)218-6006x501,874,Premium,115,PayPal,130.28,30.05,Stayed,,
Tyler Mcdowell,69281324,Male,19,60728,South Hannah,70,768.642.0085x4009,1122,Standard,147,Credit Card,125.37,35.49,Stayed,,
Justin Mendoza,44037756,Female,72,42467,West Leslieview,70,+1-362-261-5506x6258,734,Standard,31,Bank Transfer,118.57,47.53,Churned,Dissatisfaction,Product dissatisfaction
Ryan Callahan,92092518,Female,52,50208,Jeffreyville,65,994.262.6171x189,131,Premium,196,Bank Transfer,135.29,12.23,Stayed,,
Tommy Doyle,3951265,Female,59,30130,Port Matthew,5,225-342-3275x422,883,Premium,162,Bank Transfer,66.7,37.31,Stayed,,
Christine Vance,36005624,Male,51,31390,West Richard,2,(395)684-9323x4783,382,Standard,168,Credit Card,35.24,26.04,Stayed,,
Chad Norris,36493738,Female,47,90651,South Erinside,22,919.359.0608x8536,606,Standard,199,PayPal,41.47,13.43,Stayed,,
Hector Young,67100605,Male,76,93714,South Jeffreyfurt,57,223-650-1998,384,Premium,117,Bank Transfer,60.42,38.83,Stayed,,
Michelle Thompson,99604525,Female,72,24276,Port Dale,66,(556)778-7818,581,Premium,90,PayPal,110.04,27.61,Stayed,,
Joel Roberts,61629590,Male,30,60930,Scottmouth,16,4892555491,270,Standard,118,PayPal,171.28,33.05,Stayed,,
Shannon Taylor,51516729,Female,30,47962,Port Kathryn,51,+1-984-229-5309x831,684,Standard,128,Credit Card,146.23,16.15,Stayed,,
Amy Larson,42445983,Male,35,54726,North Michaelport,39,694.405.6872x93858,1819,Standard,53,Credit Card,162.03,24.06,Stayed,,
Martin Ray,37475133,Male,49,57715,Lake Juanhaven,40,+1-359-706-9956x17117,1806,Basic,80,PayPal,83.18,30.87,Stayed,,
Christina Simpson,85774770,Female,49,34337,North Amanda,38,810.600.7820,372,Standard,59,Bank Transfer,92.84,20.25,Stayed,,
Christina Watson,83408431,Male,52,62841,Stacyhaven,60,001-400-422-2654x03224,1924,Basic,60,Bank Transfer,90.86,9.92,Stayed,,
Maria Rodriguez,53984375,Male,76,97487,West Justin,59,+1-373-966-7320x349,52,Premium,99,Credit Card,54.54,48.08,Stayed,,
Kathryn Elliott,59718662,Female,56,74787,Jonestown,10,267.365.6657,1767,Premium,48,Credit Card,31.02,25.57,Stayed,,
Stephen Stewart,3462968,Male,63,89852,North Bonniestad,64,302.728.9462x19429,255,Standard,163,Credit Card,126.36,36.7,Churned,Attitude,Attitude of service provider
Jonathan Hernandez DDS,73401310,Male,69,03495,Lake Melissamouth,63,001-929-329-1285x33466,1905,Premium,190,Credit Card,198.06,20.55,Churned,Price,Long distance charges
Jennifer Boyer,36588785,Male,46,24913,Port Michaelberg,49,(387)703-4055x126,89,Premium,91,Credit Card,50.03,17.76,Stayed,,
Gregory Jackson,16176806,Female,79,71676,Port Judith,64,934.587.8684,108,Premium,185,Credit Card,28.4,20.36,Stayed,,
Heidi Pollard MD,31854291,Male,66,90310,Michelleborough,32,(711)782-6440x67802,1000,Premium,88,Credit Card,160.32,20.46,Stayed,,
Sarah Sutton,77912627,Female,46,01598,Lake Arthur,7,+1-973-918-7468x691,623,Basic,155,Bank Transfer,65.47,27.21,Stayed,,
Doris Schmitt,72936226,Male,79,95824,Cruzstad,21,875.240.7442x63973,693,Basic,160,Credit Card,169.34,27.17,Stayed,,
Sue Marshall,62363124,Male,70,72026,Aaronhaven,20,(889)700-7983,1580,Standard,20,Credit Card,146.71,24.86,Stayed,,
Nathan Valentine,26759366,Male,61,58684,North Natasha,26,821-236-0877x098,1645,Standard,169,Bank Transfer,190.22,6.74,Stayed,,
Anthony Conrad,66810479,Female,74,67495,West Stevenport,68,(923)664-1232,1957,Standard,153,Bank Transfer,93.61,24.8,Stayed,,
Robert Hernandez,78126763,Male,33,04707,West Johnstad,15,+1-208-819-0546,892,Premium,149,PayPal,139.15,8.46,Stayed,,
Dustin Lewis,34731323,Male,73,39307,Carlaville,14,(249)578-8555x95918,1195,Premium,41,Credit Card,103.67,6.31,Stayed,,
Jessica Vazquez,55770586,Female,61,63678,North Carolyn,27,244.245.6724x9748,1552,Basic,81,Credit Card,133.51,46.63,Stayed,,
Michelle Gordon,7002909,Male,64,90971,Dakotachester,40,388.847.6491x282,668,Basic,151,Credit Card,100.93,30.25,Stayed,,
Julie French,46807868,Female,74,51446,West Kennethfort,58,+1-694-339-8499x235,145,Standard,162,Credit Card,53.95,32.97,Stayed,,
Amanda Ferguson,71801240,Female,27,92914,Kelseyberg,28,(790)452-0543,1932,Basic,49,PayPal,111.42,20.09,Stayed,,
Melanie Lopez,982354,Male,47,19304,Shepardshire,26,479.613.9513x6687,1487,Basic,150,Bank Transfer,115.15,45.45,Stayed,,
Susan Erickson,77583797,Female,42,08825,Lake Johnbury,63,001-228-799-2299x217,1308,Basic,66,Bank Transfer,165.91,31.9,Stayed,,
Brian Stewart,22362014,Male,56,37070,New Robertstad,66,334.369.4991x240,947,Basic,168,Credit Card,152.39,38.46,Stayed,,
Jonathan Levine,80231115,Female,37,16272,Thompsonchester,25,457-763-9462x573,1135,Basic,104,Credit Card,139.48,18.43,Stayed,,
Amanda Cardenas,53160506,Female,22,28041,Smithberg,3,+1-810-481-3159x8860,1329,Standard,56,Credit Card,40.41,48.0,Stayed,,
Tara Green,98805804,Male,18,53199,West Angelica,44,575.485.3540,610,Standard,23,PayPal,149.71,41.02,Stayed,,
Mary Douglas,68280761,Female,47,74744,New Sharon,42,001-952-820-3548x61577,954,Basic,113,PayPal,110.05,42.7,Stayed,,
Brian Myers,98523039,Female,66,92726,Lewiston,6,803-705-5734x9206,397,Standard,48,Bank Transfer,180.94,8.61,Stayed,,
Brent Garner,99238027,Female,20,14698,Hallshire,39,288.291.7372x836,720,Premium,11,Credit Card,185.58,13.55,Stayed,,
Adam Bullock,19155830,Female,62,20842,Johnsonburgh,52,459-365-2808x431,1197,Basic,176,Credit Card,29.93,14.28,Stayed,,
Andrew Bentley,26701311,Female,31,61851,North David,23,562.493.8062,1555,Premium,121,Credit Card,167.72,13.55,Stayed,,
Shaun Sampson,35566998,Male,73,61558,Williamside,50,404-528-4776x03711,366,Standard,72,Credit Card,26.79,42.77,Stayed,,
Michael Bruce,50674889,Female,47,12853,Lake Keithburgh,43,+1-487-845-5884,1577,Standard,38,PayPal,86.09,1.59,Stayed,,
Alex Coleman,89925279,Male,67,34995,Johnmouth,19,241-301-6054x3467,768,Premium,198,Bank Transfer,117.61,3.8,Stayed,,
Amy Long,42112246,Female,21,18126,Lake Olivia,69,879.200.0419x86660,1121,Standard,73,Bank Transfer,46.66,13.7,Stayed,,
Karen Ramirez,75288978,Male,35,19293,South Lawrence,51,350.212.2962x82617,1482,Basic,59,PayPal,154.34,9.99,Stayed,,
Pamela Cross,349939,Male,79,31842,Wallaceshire,11,(666)450-4554,1209,Premium,14,Credit Card,21.5,11.59,Stayed,,
Phyllis Lynch MD,62093168,Female,54,11566,Alecchester,12,001-985-692-7834x84117,1274,Basic,46,Bank Transfer,50.35,39.9,Stayed,,
Colleen Cabrera,44092357,Female,42,89569,Gilbertville,8,852.521.7668x7899,299,Premium,45,Bank Transfer,124.54,28.16,Churned,Price,Price too high
Patricia Rice,46030543,Female,65,16221,Lake Rita,24,928.417.2632x49921,363,Standard,126,PayPal,148.59,0.29,Stayed,,
Erica Collins,4602054,Male,18,52019,Anitaport,41,001-579-605-6051x113,1942,Premium,142,Credit Card,185.0,21.47,Churned,Other,Deceased
Austin Peterson,72733489,Female,70,01941,Mosleyshire,36,725.897.3054,1441,Premium,14,Bank Transfer,146.99,20.39,Stayed,,
Nathaniel Thompson,48847787,Male,63,48658,North Michaelmouth,55,+1-813-281-2196,1502,Basic,106,Credit Card,140.92,5.7,Stayed,,
Tina Hooper,18048784,Male,32,75680,West Phillip,9,+1-534-491-3002x88717,1903,Standard,192,Bank Transfer,90.98,33.81,Stayed,,
Andrew Moreno,34690778,Male,26,18763,Kimberlyfort,47,(659)305-3371,856,Basic,132,PayPal,20.23,35.1,Stayed,,
Shelby Turner,90746695,Female,32,68767,Leefurt,15,+1-576-620-3577x995,1553,Standard,183,Credit Card,41.63,36.04,Stayed,,
James Watts,60205518,Female,66,79559,Elizabethton,48,001-319-584-6550,1387,Basic,153,PayPal,116.22,36.42,Stayed,,
Daniel Yates,91652839,Male,74,92600,Leslieland,42,293.418.3156x801,1573,Premium,140,Bank Transfer,141.52,0.0,Stayed,,
Todd Hines,11797003,Male,41,60242,North Pamela,60,001-232-202-5316x9324,1794,Basic,197,PayPal,95.14,47.7,Stayed,,
Jaclyn Rodriguez,82913505,Female,21,03586,North Edward,70,(588)757-1442x024,1428,Standard,96,PayPal,151.52,40.71,Stayed,,
Deborah Wang,9234032,Male,29,59539,Kristyshire,12,4714841677,534,Standard,117,PayPal,113.94,45.2,Churned,Other,Deceased
Elizabeth Rhodes,87168651,Female,76,70602,Lake Amy,2,+1-768-454-6936x17091,1284,Premium,82,Bank Transfer,33.35,0.78,Stayed,,
Justin Reid,4689267,Male,75,80488,Diazborough,7,919-847-9782x7608,1777,Standard,89,Credit Card,54.56,46.69,Stayed,,
Bruce Harrison,87292304,Female,54,03210,Matthewborough,3,981-605-6993x722,93,Basic,34,PayPal,171.2,40.49,Stayed,,
Melanie Taylor,78782073,Male,78,13349,Natalieshire,3,913-250-8709,1614,Premium,53,Credit Card,150.48,41.86,Stayed,,
Hannah Mathis,61391801,Female,54,35613,Port Stephanieport,27,472.911.3736x250,620,Standard,13,Bank Transfer,181.06,4.66,Stayed,,
Pamela Salinas,96736795,Male,60,14419,Taylorfurt,40,323-975-8052x3221,632,Standard,149,Credit Card,41.16,36.94,Stayed,,
Brandy Jackson,69879836,Female,77,84085,Ritterburgh,33,001-931-991-9499x22587,1165,Basic,73,PayPal,198.24,48.0,Stayed,,
William Berry,194837,Female,23,10458,Lake Sarah,1,2442226680,1338,Basic,62,PayPal,57.69,33.93,Stayed,,
Duane Gonzales,35913674,Male,56,29211,Matthewburgh,8,759-546-4056x817,944,Premium,189,PayPal,22.12,28.53,Churned,Attitude,Attitude of support person
Molly Romero,82509775,Male,73,95558,East Mark,32,(751)960-8979x04886,269,Standard,66,PayPal,199.54,47.28,Stayed,,
Timothy King,68318404,Female,63,10369,Thompsonland,48,751-594-5879x5814,1975,Basic,56,PayPal,70.59,22.15,Churned,Dissatisfaction,Network reliability
Norman Bailey,10339672,Male,41,06964,New Johnborough,4,357.218.9354,974,Premium,193,PayPal,140.24,29.96,Churned,Price,Long distance charges
Ashley Bryant,64052069,Female,28,16789,Lake Katiehaven,70,(371)446-1036,1515,Standard,44,Bank Transfer,51.8,23.82,Stayed,,
Lauren Steele,28241733,Male,79,21360,East Shaunmouth,19,746.567.2990x980,450,Standard,170,Bank Transfer,124.44,46.64,Stayed,,
Colin Parker,13905275,Female,30,68016,Karenburgh,32,(979)878-7178x7016,1473,Premium,175,Bank Transfer,182.73,3.8,Stayed,,
Logan Mckee,12919128,Female,51,88833,West Johnland,9,001-445-970-4045x589,776,Premium,67,Credit Card,77.63,25.06,Stayed,,
Thomas Villegas,96185118,Female,42,53367,Parsonsburgh,12,684.747.1935x70716,1040,Basic,151,Credit Card,140.65,34.35,Stayed,,
Garrett Garner,91279529,Female,24,59375,Port Kathryn,11,(455)771-7130x100,948,Standard,54,Bank Transfer,53.82,39.6,Stayed,,
Joshua French,70089480,Female,69,64465,Port Kathyhaven,46,943.693.6877,1862,Standard,165,Credit Card,132.46,29.15,Stayed,,
Matthew Vega,75657620,Female,21,60300,Nathanport,16,+1-380-871-2234x4702,1649,Standard,145,Credit Card,80.56,45.45,Stayed,,
Justin Hamilton DDS,38417516,Male,76,63652,Port Terriborough,1,861-429-0202,907,Premium,82,PayPal,58.02,47.1,Churned,Other,Unknown
Troy Mccarthy,69687223,Male,25,16472,Howardtown,63,468-598-1021x809,853,Basic,101,PayPal,76.37,3.22,Stayed,,
Scott Boyd,82665872,Male,37,18714,Zacharyhaven,21,804-807-8404x9671,539,Standard,194,Credit Card,52.19,20.12,Stayed,,
David Raymond,95960176,Female,46,26741,Garyview,30,(337)556-2611,1558,Premium,47,Credit Card,182.34,1.17,Churned,Price,Long distance charges
Heather Jenkins,16911622,Female,71,83114,West Christina,13,+1-801-664-9317,1830,Standard,181,Bank Transfer,91.49,16.47,Stayed,,
Antonio Hernandez,5198166,Female,70,06521,Michaelton,34,(503)239-8896x0600,1543,Basic,40,Credit Card,64.15,26.84,Stayed,,
Alison Clark,67084960,Female,68,72145,New Brianton,4,(513)965-6792,1647,Standard,126,PayPal,100.71,45.54,Stayed,,
Alexander Dean,35825182,Male,62,32137,Wrightberg,28,(568)474-2370x14986,987,Basic,112,Credit Card,77.7,42.33,Stayed,,
Katie Taylor,70237636,Male,63,51729,North Dawntown,59,+1-581-708-1754x2741,893,Basic,14,Bank Transfer,154.0,6.37,Stayed,,
Carol Kennedy,23021268,Female,27,95255,Leeburgh,27,001-668-424-4471,1755,Standard,99,PayPal,194.82,4.65,Churned,Competitor,Competitor offered more data
Jason Harris,76051026,Male,60,07537,Foxton,69,001-765-532-8033,1518,Standard,10,PayPal,98.85,29.46,Stayed,,
Keith Moran,62137291,Male,51,92667,Sheilaland,25,4783314227,1342,Basic,61,PayPal,174.99,26.61,Stayed,,
Julia Campbell,42299379,Female,74,13975,New Kristin,3,986-558-0146,316,Premium,133,PayPal,121.86,13.32,Stayed,,
Robert Fischer,13309005,Male,43,05286,South Michael,68,913-940-5731x5353,103,Basic,75,Credit Card,48.3,44.97,Stayed,,
Mr. Glenn Cochran,93861913,Female,58,15642,North Derek,25,3535393854,577,Standard,190,Bank Transfer,144.31,46.37,Churned,Price,Long distance charges
Morgan Martin,80163481,Male,66,15152,Lake Anthonyfurt,20,001-832-543-0918x546,1593,Standard,25,Credit Card,112.42,20.13,Churned,Dissatisfaction,Service dissatisfaction
Angela Brooks,64438625,Female,75,22246,South Kevinhaven,34,(505)461-7263x9660,665,Premium,96,Credit Card,137.11,44.52,Stayed,,
Marvin Martinez,42131641,Female,20,03784,Amberhaven,26,806.508.0666x72848,1132,Basic,131,PayPal,180.14,19.2,Stayed,,
Robert Colon,32121535,Female,73,41428,Jacksonhaven,5,580-984-1771x88691,1898,Basic,84,Bank Transfer,99.28,36.84,Stayed,,
Kimberly Brown,51657980,Female,23,81389,Helentown,61,342.338.7361,1113,Basic,60,PayPal,182.21,23.8,Stayed,,
Amanda Gonzalez,80131101,Male,22,37383,West Janet,9,312-888-2255x8497,1310,Standard,120,Credit Card,155.12,6.13,Stayed,,
Jonathan Smith,45527755,Female,22,86287,Dianaland,50,601.875.0699x938,1004,Basic,152,Credit Card,107.95,46.4,Stayed,,
Amanda Harris,98396230,Female,71,09394,Amandatown,6,(932)292-8366,435,Premium,186,PayPal,128.58,22.7,Churned,Dissatisfaction,Network reliability
Justin Jones,89058570,Female,64,75387,East Jamesbury,60,+1-957-934-8600x558,1679,Standard,29,Credit Card,78.6,36.72,Stayed,,
James Palmer,13981643,Male,40,70724,Ashleychester,44,745.783.9559x2564,783,Standard,160,Credit Card,197.05,18.36,Churned,Price,Long distance charges
Elizabeth Romero,93838919,Female,66,78552,Thomasburgh,11,730.383.1794x15570,765,Basic,9,PayPal,140.12,0.94,Stayed,,
Taylor Estrada,44683787,Male,26,78014,East Patriciamouth,66,518.934.9272x341,699,Premium,124,Credit Card,27.89,5.03,Stayed,,
Catherine Thompson,81159107,Female,52,13587,Lake Vickistad,47,771-872-8138x295,349,Standard,25,Bank Transfer,78.79,24.81,Churned,Competitor,Competitor had better coverage
Dana Anderson,13499446,Male,37,28406,Michelleshire,3,738-292-2005x7175,444,Standard,22,PayPal,132.2,34.5,Stayed,,
Jeremy Wilkinson,45513415,Male,75,64214,Meadowsburgh,30,+1-292-208-7535x3602,1280,Basic,179,Bank Transfer,30.14,16.74,Churned,Dissatisfaction,Service dissatisfaction
Margaret Moore,65278805,Female,66,81837,Shannonstad,21,+1-402-917-8784x5584,1409,Basic,61,Credit Card,24.3,34.77,Stayed,,
David Johnson,15247173,Male,78,21434,Charlesshire,28,644.563.1563x99486,642,Premium,97,Credit Card,101.0,34.93,Stayed,,
Joseph Jacobs,28525221,Female,76,96528,East Brendan,62,+1-482-261-6253x8616,1803,Basic,23,PayPal,79.88,35.2,Churned,Other,Deceased
Caroline Hudson,21369679,Female,59,47336,Pittmanfurt,33,001-795-242-3450x31702,563,Premium,132,Credit Card,98.89,24.63,Stayed,,
Kimberly Hayden,17305607,Female,52,79037,New Jason,35,(648)383-8559x505,1251,Standard,101,PayPal,67.28,45.74,Churned,Price,Extra data charges
Megan Walker,60813916,Male,67,48000,Adkinstown,52,572.248.9377x15217,445,Premium,197,PayPal,49.65,24.46,Churned,Competitor,Competitor had better coverage
Ashley Benton,28349576,Male,35,48572,South Amyside,34,001-613-756-8924x542,420,Premium,135,PayPal,144.05,22.51,Stayed,,
